Sequence,Q1,Q2_1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9_6,Q10,Q11,Q12
47,1,45,4,1,3,3,2,4,1,,2,2,4
48,2,57,5,8,4,1,1,4,2,,5,2,4
49,2,53,5,1,3,3,1,3,7,,3,4,4
50,1,32,3,8,3,3,1,2,1,,2,4,1
51,1,28,2,4,3,3,2,4,7,,3,4,3
52,1,50,5,2,3,3,2,5,7,,3,5,4
53,2,32,3,1,3,1,3,3,7,,3,4,8
54,2,24,2,8,3,3,1,5,1,,3,2,2
55,1,61,6,8,3,4,1,4,1,,3,4,7
56,1,35,3,1,2,3,2,4,1,,3,5,4
57,1,61,6,3,2,3,3,3,7,,3,3,2
58,1,28,2,8,3,4,2,4,1,,3,4,3
59,1,60,6,16,3,4,2,3,1,,3,3,5
60,2,55,5,8,4,3,2,4,7,,3,3,2
61,1,39,3,8,3,2,2,5,1,,3,4,5
62,1,61,6,11,2,3,2,3,1,,3,4,6
63,1,25,2,8,2,3,2,3,7,,3,2,1
64,1,63,6,6,3,4,2,2,7,,2,5,8
65,2,35,3,1,3,3,2,4,7,,4,5,2
66,1,43,4,1,4,4,1,5,1,,4,4,4
67,1,18,1,10,3,3,2,4,7,,2,2,8
68,1,55,5,8,3,4,2,3,7,,3,4,4
69,2,62,6,2,2,3,2,3,1,,3,2,3
70,1,65,6,1,3,1,1,4,1,,2,4,5
71,2,48,4,12,3,3,2,3,7,,1,2,2
72,1,40,4,1,3,4,2,5,5,,3,4,4
73,1,26,2,8,3,2,2,4,1,,3,4,3
74,2,31,3,2,4,1,2,5,5,,3,3,2
76,2,58,5,1,3,1,2,4,7,,3,2,2
77,1,40,4,8,2,3,2,5,1,,2,4,4
78,2,46,4,4,4,4,2,3,7,,3,2,2
79,2,30,3,2,3,2,2,5,7,,3,2,2
80,1,37,3,1,4,3,2,5,1,,3,4,3
81,1,37,3,6,2,2,2,5,1,,2,4,2
82,2,32,3,1,3,3,1,5,5,,2,4,3
83,2,55,5,17,3,3,2,4,7,,3,4,4
84,2,60,6,15,3,3,2,3,7,,3,2,3
85,1,54,5,1,3,3,2,4,7,,3,4,5
86,2,40,4,1,3,3,2,3,5,,3,4,4
